Year;State;County;Number of Farms;Total Farm Area;Area per Farm;Land in Farms;Change Since 1970
;;;;acre;acre;%;%
1995;WI    ;Waupaca;1360;264000;194;54.9;-0.2
1996;WI    ;Waupaca;1330;259000;195;53.9;-1.0
1997;WI    ;Waupaca;1350;252000;187;52.4;-1.5
1998;WI    ;Waupaca;1320;249000;189;51.8;-0.6
1999;WI    ;Waupaca;1320;247000;187;51.4;-0.4
1970;WI    ;Waushara;1220;238000;195;59.4;
1971;WI    ;Waushara;1170;234800;201;58.6;-0.8
1972;WI    ;Waushara;1170;235200;201;58.7;0.1
1973;WI    ;Waushara;1130;231700;205;57.8;-0.9
1974;WI    ;Waushara;1100;227700;207;56.8;-1.0
1975;WI    ;Waushara;1030;222000;216;55.4;-1.4
1976;WI    ;Waushara;1000;221000;221;55.2;-0.2
1977;WI    ;Waushara;960;209600;218;52.3;-2.8
1978;WI    ;Waushara;950;208900;220;52.1;-0.2
1979;WI    ;Waushara;940;208100;221;51.9;-0.2
1980;WI    ;Waushara;930;206100;222;51.4;-0.5
1981;WI    ;Waushara;920;206100;224;51.4;0.0
1982;WI    ;Waushara;900;205000;228;51.2;-0.3
1983;WI    ;Waushara;840;196200;234;49.0;-2.2
1984;WI    ;Waushara;820;191600;234;47.8;-1.1
1985;WI    ;Waushara;790;190000;241;47.4;-0.4
1986;WI    ;Waushara;770;188000;244;46.9;-0.5
1987;WI    ;Waushara;750;187000;249;46.7;-0.2
1988;WI    ;Waushara;760;189000;249;47.2;0.5
1989;WI    ;Waushara;740;186000;251;46.4;-0.7
1990;WI    ;Waushara;720;186000;258;46.4;0.0
1991;WI    ;Waushara;710;186000;262;46.4;0.0
1992;WI    ;Waushara;720;188000;261;46.9;0.5
1993;WI    ;Waushara;720;186000;258;46.4;-0.5
1994;WI    ;Waushara;720;184000;256;45.9;-0.5
1995;WI    ;Waushara;720;181000;251;45.2;-0.7
1996;WI    ;Waushara;710;180000;254;44.9;-0.2
1997;WI    ;Waushara;760;192000;253;47.9;3.0
1998;WI    ;Waushara;740;190000;257;47.4;-0.5
1999;WI    ;Waushara;740;188000;254;46.9;-0.5
1970;WI    ;Winnebago;1460;224000;153;79.7;
1971;WI    ;Winnebago;1450;222600;154;79.2;-0.5
1972;WI    ;Winnebago;1430;217400;152;77.4;-1.9
1973;WI    ;Winnebago;1400;215000;154;76.5;-0.9
1974;WI    ;Winnebago;1380;213100;154;75.8;-0.7
1975;WI    ;Winnebago;1300;209000;161;74.4;-1.5
1976;WI    ;Winnebago;1270;206000;162;73.3;-1.1
1977;WI    ;Winnebago;1270;206200;162;73.4;0.1
1978;WI    ;Winnebago;1250;206200;165;73.4;0.0
1979;WI    ;Winnebago;1250;204700;164;72.9;-0.5
1980;WI    ;Winnebago;1220;202700;166;72.1;-0.7
1981;WI    ;Winnebago;1200;202700;169;72.1;0.0
1982;WI    ;Winnebago;1170;201600;172;71.8;-0.4
1983;WI    ;Winnebago;1130;201700;178;71.8;0.0
1984;WI    ;Winnebago;1110;198500;179;70.7;-1.1
1985;WI    ;Winnebago;1070;199000;186;70.8;0.2
1986;WI    ;Winnebago;1050;197000;188;70.1;-0.7
1987;WI    ;Winnebago;1060;200000;189;71.2;1.1
1988;WI    ;Winnebago;1080;202000;187;71.9;0.7
1989;WI    ;Winnebago;1060;196000;185;69.8;-2.1
1990;WI    ;Winnebago;1050;196000;187;69.8;0.0
1991;WI    ;Winnebago;1030;196000;190;69.8;0.0
1992;WI    ;Winnebago;1000;190000;190;67.6;-2.1
1993;WI    ;Winnebago;1000;187000;187;66.6;-1.1
1994;WI    ;Winnebago;990;183000;185;65.1;-1.4
1995;WI    ;Winnebago;980;182000;186;64.8;-0.4
1996;WI    ;Winnebago;940;178000;189;63.4;-1.4
1997;WI    ;Winnebago;1040;183000;176;65.1;1.8
1998;WI    ;Winnebago;1030;181000;176;64.4;-0.7
1999;WI    ;Winnebago;1030;180000;175;64.1;-0.4
1970;WI    ;Wood;1730;277000;160;54.6;
1971;WI    ;Wood;1670;273800;164;53.9;-0.6
1972;WI    ;Wood;1670;273900;164;54.0;0.0
1973;WI    ;Wood;1660;273000;164;53.8;-0.2
1974;WI    ;Wood;1630;271400;167;53.5;-0.3
1975;WI    ;Wood;1560;267000;171;52.6;-0.9
1976;WI    ;Wood;1540;267000;173;52.6;0.0
1977;WI    ;Wood;1500;261100;174;51.4;-1.2
1978;WI    ;Wood;1490;260400;175;51.3;-0.1
1979;WI    ;Wood;1460;260400;178;51.3;0.0
1980;WI    ;Wood;1430;256500;179;50.5;-0.8
1981;WI    ;Wood;1420;260500;183;51.3;0.8
1982;WI    ;Wood;1380;259200;188;51.1;-0.3
1983;WI    ;Wood;1340;255800;191;50.4;-0.7
1984;WI    ;Wood;1300;249800;192;49.2;-1.2
1985;WI    ;Wood;1250;249000;199;49.1;-0.2
1986;WI    ;Wood;1230;249000;202;49.1;0.0
1987;WI    ;Wood;1240;248000;200;48.9;-0.2
1988;WI    ;Wood;1260;250000;198;49.3;0.4
1989;WI    ;Wood;1250;246000;197;48.5;-0.8
1990;WI    ;Wood;1240;246000;198;48.5;0.0
1991;WI    ;Wood;1220;246000;202;48.5;0.0
1992;WI    ;Wood;1190;248000;208;48.9;0.4
1993;WI    ;Wood;1190;245000;206;48.3;-0.6
1994;WI    ;Wood;1190;242000;203;47.7;-0.6
1995;WI    ;Wood;1190;241000;203;47.5;-0.2
1996;WI    ;Wood;1180;238000;202;46.9;-0.6
1997;WI    ;Wood;1160;240000;207;47.3;0.4
1998;WI    ;Wood;1140;238000;209;46.9;-0.4
1999;WI    ;Wood;1140;235000;206;46.3;-0.6
